ID,SKU,Name,Stock,Weight (lbs),Regular price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Brand,Attribute 2 visible,Attribute 2 global,Attribute 3 name,Product Type,Attribute 3 visible,Attribute 3 global,Attribute 4 name,Model,Attribute 4 visible,Attribute 4 global
8104,027-002-0225,Denso Pump Head 1107760004,1,3,65,"https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8403.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8404.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8405.jpg",Location,2013c8_LC1,1,1,Brand,Keyence,1,1,Product Type,Pump Head,1,1,Model,1107760004,1,
8550,MFG-000-0605,Mitsubishi Base Unit A1S58B,0,3,389,"https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8770.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8771.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8772.jpg",Location,2013c10_LC1,1,1,Brand,Keyence,1,1,Product Type,-,1,1,Model,-,1,
9823,231-001-0670,Chino Temperature  Control KP1130BP36,2,4,500,"https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9950.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9951.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9952.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9953.jpg",Location,"2012c7_LC1, 2012c8_LC3",1,1,Brand,Keyence,1,1,Product Type,Controllers,1,1,Model,KP1130BP36,1,
11856,MFG-000-0888,THK Ball Screw BTK3610L A5B01,1,17,400,"https://mfgpartsplus.com/wp-content/uploads/2018/11/IMG13c5_0437-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/11/IMG13c5_0438-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/11/IMG13c5_0439-scaled.jpg",Location,2013c5,1,0,Brand,THK,1,0,Product Type,-,1,0,,,,
11890,008-007-0206,Fuji Electric AH30-L2G20H,1,1,50,"https://mfgpartsplus.com/wp-content/uploads/2018/11/IMG13c5_0592-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/11/IMG13c5_0593-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/11/IMG13c5_0594-scaled.jpg",Location,2013c5_LC3,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
12429,MFG-000-0945,Acopian 6J500,1,6,428,"https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0745-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0746-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0747-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0748-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0749-scaled.jpg",Location,CACA_LC4,1,1,Brand,TACO,1,1,Product Type,Power Supplies,1,1,Model,6J500,1,
12977,MFG-000-1101,Hytegra Valve IK0,1,2,199,"https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG04c131415_1612.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG04c131415_1613.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG04c131415_1614.jpg",Location,2004c113_114_115,1,1,Brand,ASCO,1,1,Product Type,Valves,1,1,Model,Hytegra Valve IK0,1,
13473,MFG-000-1163,Omron STI Minisafe MS4324BX,1,3,700,"https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG12c1_1854.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG12c1_1855.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG12c1_1856.jpg",Location,2012c1,1,0,Brand,Omron,1,0,Product Type,-,1,0,,,,
13788,078-586-0018,Bracket H-586-40-04,2,5,20,"https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2897.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2898.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2899.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2900.jpg",Location,2015c5_LC1,1,0,Brand,-,1,0,Product Type,Brackets,1,0,Model,H-586-40-04,1,
13838,005-026-0015,Toshiba Camera CS8310B,0,3,299,"https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2881.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2882.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2883.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2884.jpg",Location,2015c5_LC1,1,1,Brand,ASCO,1,1,Product Type,Camera Adapter,1,1,Model,CS8310B,1,
14246,418-710-0040,Feed Gear 36-76,1,9,35,"https://mfgpartsplus.com/wp-content/uploads/2018/12/12c20_2358.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c20_2359.jpg",Location,2012c20,1,1,Brand,Keyence,1,1,Product Type,Gears,1,1,Model,36-76,1,
14875,MFG-000-1197,SquareD KHL362001352,1,8,155,"https://mfgpartsplus.com/wp-content/uploads/2019/01/AAAA_0155.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/AAAA_0156.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/AAAA_0157.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/AAAA_0158.jpg",Location,AAAA_bx2,1,0,Brand,Square D,1,0,Product Type,-,1,0,,,,
15928,MFG-000-1364,ASCO Redhat Valve 99-257-1-D,2,2,46,"https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1339.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1340.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1341.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1342.jpg",Location,CCCC_LC1,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
16018,MFG-000-1446,"RKC Instrument	C400FJA1-M*AP",1,2,100,"https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1211.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1212.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1213.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1214.jpg",Location,BBBB_LC9,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,C400FJA1-M*AP,1,
16907,022-012-0306,Banner LX12RSRQ,1,4,363,"https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1655.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1656.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1657.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1658.jpeg",Location,2015c5,1,1,Brand,Banner,1,1,Product Type,-,1,1,Model,LX12RSRQ,1,
18202,002-014-0021,Toyo-oki HD32WDBCA03ALYD2,1,10,297,"https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2355-rotated.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2356-rotated.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2357-rotated.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2358-rotated.jpg",Location,2015c1_LC1,1,1,Brand,Toyo-oki,1,1,Product Type,-,1,1,Model,HD32WDBCA03ALYD2,1,
19440,MFG-000-1693,Eaton/Westinghouse  1490D72G14,1,1,650,"https://mfgpartsplus.com/wp-content/uploads/2019/07/EEEE_0679-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/EEEE_0680-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/EEEE_0681-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/EEEE_0682-scaled.jpg",Location,-,1,0,Brand,Eaton,1,0,Product Type,Switches,1,0,,,,
22565,MFG-000-1804,Baldor Industrial Motor VM3546 Motor,1,37,435,"https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2160-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2161-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2162-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2163-scaled.jpeg",Location,Column11_row2_4,1,0,Brand,Baldor,1,0,Product Type,Motors,1,0,Model,VM3546,1,
22660,061-001-0305,KHK M-1122887-021 Gear,5,7,20,"https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2309-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2310-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2311-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/08/parts_2312-scaled.jpeg",Location,2015c6_LC1,1,1,Brand,KHK,1,1,Product Type,GEAR,1,1,Model,M-1122887-021,1,
26559,MFG-000-1988,Boston Gear Reducer 315-20-G1,1,23,200,"https://mfgpartsplus.com/wp-content/uploads/2019/10/bg_5185-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/10/bg_5186-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/10/bg_5187-scaled.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/10/bg_5188-scaled.jpeg",Location,Boston Gear Shelf,1,0,Brand,Boston Gear,1,0,Product Type,Gear Reducers,1,0,Model,315-20-G1,1,
37709,017-032-0005,Bag Strecher 2023,1,1,0,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July-121-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-122-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-123-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-124-scaled.jpg",Location,2014c3,1,1,Brand,Keyence,1,1,Product Type,-,1,1,Model,-,1,
38372,037-032-0009,Roller 20MFWR,10,1,0,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July-457-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-458-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-459-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-460-scaled.jpg",Location,2014c4_lc3,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
38414,037-963-0023,Feed Roller M-1006422-020,1,1,0,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July-633-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-634-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-635-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July-636-scaled.jpg",Location,2014c4_LC1,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
40699,MFG-000-2032,OPTIBELT-VB Belt B60,2,,,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-892-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-893-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-894-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-895-scaled.jpg",Location,2014c1,1,1,Brand,Keyence,1,1,Product Type,-,1,1,Model,-,1,
43929,068-626-0074,SANKI Joint M-2820215-163,2,1,0,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2012-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2013-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2014-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2015-scaled.jpg",Location,2015C5_LC6,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
44146,013-001-0163,Timing Belt 071-L-369A-J,2,,,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2881-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2882-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2883-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-2884-scaled.jpg",Location,2013C4_LC10,1,0,Brand,-,1,0,Product Type,Belts,1,0,,,,
44189,044-001-0098,MACHIII Clutch/Brake With 2 40A20 Sprockets A3014-SRB,1,1,65,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3041-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3040-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3042-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3043-scaled.jpg",Location,2013C10_LC4,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
44278,008-030-0080,Fiber Optic (Thru Beam) E20615,1,1,16,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3361-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3360-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3362-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3363-scaled.jpg",Location,2013C9_LC7,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
44368,037-816-0010,Guide M-2803672-091,6,1,0,"https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3732-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3733-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3734-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/07/July24-3735-scaled.jpg",Location,2013C9_LC8,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,-,1,
45134,036-095-0007,SMC Holder C-95-AAA,4,,,"https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4175-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4176-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4177-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4178-scaled.jpg",Location,2013C8_LC6,1,0,Brand,SMC,1,0,Product Type,-,1,0,Model,-,1,
45148,036-017-0125,Extention Outside Gun Cover 631225,3,,,"https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4231-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4232-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4233-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4234-scaled.jpg",Location,2013C8_LC6,1,1,Brand,Parker,1,1,Product Type,-,1,1,Model,631225,1,
45217,MFG-000-2078,AK71-2529,0,,,"https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4531-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4532-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4533-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/08/July24-4534-scaled.jpg",Location,2013C8_LC8,1,0,Brand,-,1,0,Product Type,-,1,0,Model,-,1,
46645,MFG-000-2087,BUSSMANN FRS-R-10 FUSE,10,1,8.79,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-225-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-226-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-227-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-228-scaled.jpg",Location,-,1,1,Brand,BUSSMANN,1,1,Product Type,-,1,1,Model,-,1,
46656,022-001-0956,Eaton FAZ-C5/1-NA Circuit Breaker,5,1,20,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-269-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-270-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-271-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-272-scaled.jpg",Location,2019C2_B3,1,1,Brand,Eaton,1,1,Product Type,CIRCUIT BREAKER,1,1,Model,FAZ-C5/1-NA,1,
46662,MFG-000-2090,Allen-Bradley 1746-IB16 INPUT MODULE,0,1,54.96,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-297-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-298-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-299-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-300-scaled.jpg",Location,-,1,0,Brand,Allen-Bradley,1,0,Product Type,-,1,0,Model,-,1,
46673,463-603-0010,H-603-66 Avalon Blower,1,1,12,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-337-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-338-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-339-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-340-scaled.jpg",Location,2019C2_B5,1,0,Brand,-,1,0,Product Type,HARNESS,1,0,Model,H-603-66,1,
46723,068-761-0009,Konsei Hlc-16As-Et3-S2 Round Hand Cylinder,1,2,342.68,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-533-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-534-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-535-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-536-scaled.jpg",Location,2019C1_LC3,1,1,Brand,Konsei,1,1,Product Type,ROUND HAND CYLINDER,1,1,Model,HLC-16AS-ET3-S2,1,
46724,039-003-1563,Koganei Atbda10X10-Zei35A2 Wire Feed Clamp Cylinder,1,3,45,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-537-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-538-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-539-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-540-scaled.jpg",Location,2019C1_LC3,1,1,Brand,Koganei,1,1,Product Type,WIRE FEED CLAMP CYLINDER,1,1,Model,ATBDA10X10-ZEI35A2,1,
46768,MFG-000-2114,Dsub50Mc CABLE,4,,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-709-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-708-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-710-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-711-scaled.jpg",Location,-,1,0,Brand,-,1,0,Product Type,-,1,0,Model,-,1,
46780,028-001-0024,IDC Select 40B19 Sprocket,2,1,0,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-757-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-758-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-759-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-760-scaled.jpg",Location,2019C1_LC2,1,1,Brand,IDC Select,1,1,Product Type,SPROCKET,1,1,Model,40B19,1,
46844,031-001-0836,Allen-Bradley 1756-L63 B Controllogix 8Mb Memory Controller,1,3,279.28,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1017-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1018-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1019-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1020-scaled.jpg",Location,2019C3_B3,1,0,Brand,Allen-Bradley,1,0,Product Type,B Controllogix 8Mb Memory Controller,1,0,Model,1756-L63,1,
46888,019-001-0848,Nidec Felq-5 Ac 3 Phase Induction Motor 2.2 Kw - 2 Poles,1,9,523.5,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1209-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1210-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1211-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1212-scaled.jpg",Location,2019C5,1,1,Brand,NIDEC,1,1,Product Type,INDUCTION MOTOR,1,1,Model,FELQ-5,1,
46906,002-004-0075,Swagelok SS-44F4 Ball Valve,1,2,71,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1281-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1282-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1283-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1284-scaled.jpg",Location,2019C5_LC1,1,1,Brand,Swagelok,1,1,Product Type,BALL VALVE,1,1,Model,SS-44F4,1,
46913,008-014-0275,Omron NL2-SC Touch Switch,1,2,124.95,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1301-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1302-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1303-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1304-scaled.jpg",Location,2019C5_LC1,1,1,Brand,Omron,1,1,Product Type,TOUCH SWITCH,1,1,Model,NL2-SC,1,
